DistanceKm,DurationMin,Weight,Volume,CarType,FinalPrice
37,45,5861,45,Furniture van,6352
137,192,6052,33,Tented truck,13986
31,44,1412,56,Isothermal van,4533
100,178,9692,12,Small van,8307
136,229,2458,38,Medium van,6961
97,177,9717,35,Medium van,9740
6,11,1973,14,Dump truck,3834
183,275,599,52,Isothermal van,10306
55,88,1392,56,Refrigerator,7135
11,22,4615,37,Isothermal van,4965
21,42,660,36,Dump truck,4511
30,38,234,3,Tented truck,3449
149,217,9119,23,Furniture van,10702
77,136,103,53,Refrigerator,7732
134,249,7656,11,Refrigerator,12934
52,66,5737,29,Small van,4708
67,95,8909,18,Dump truck,10512
121,217,6466,38,Furniture van,8582
171,358,4748,51,Small van,8775
12,16,9855,28,Isothermal van,7270
10,19,3794,4,Refrigerator,3734
110,200,4630,48,Small van,6181
59,121,2848,19,Tented truck,6933
40,82,4774,51,Medium van,5363
187,314,7927,17,Dump truck,21223
27,49,3067,23,Small van,2888
18,27,6156,21,Medium van,5493
107,146,8903,33,Refrigerator,12360
23,46,1700,15,Furniture van,3158
130,248,8667,16,Dump truck,13534
12,17,659,43,Refrigerator,3995
107,212,2039,31,Furniture van,6635
169,242,9634,20,Tented truck,19158
186,252,6244,59,Tented truck,17249
200,277,4303,27,Small van,7124
12,17,1953,50,Medium van,2985
161,256,4702,43,Furniture van,9292
53,114,8620,46,Furniture van,8390
151,306,6610,22,Isothermal van,12345
4,6,4685,39,Refrigerator,4459
169,262,1530,59,Dump truck,17130
112,214,1633,25,Refrigerator,8686
124,159,9625,55,Refrigerator,13095
165,209,9086,10,Refrigerator,16360
170,358,7037,35,Dump truck,20054
115,225,4069,46,Medium van,6814
166,364,6302,16,Small van,6942
156,206,841,4,Tented truck,11299
54,76,1083,58,Isothermal van,5091
156,215,2344,1,Tented truck,10842
123,221,8122,42,Dump truck,14153
131,287,7291,55,Dump truck,14743
95,154,9176,3,Refrigerator,11763
107,185,2362,42,Small van,5824
106,213,9754,35,Tented truck,15503
34,48,8137,33,Tented truck,8643
6,11,5386,35,Dump truck,6228
177,380,3835,10,Medium van,7357
165,283,2058,5,Dump truck,15353
7,10,8041,2,Furniture van,4602
92,197,5124,26,Small van,5466
172,309,2417,41,Furniture van,8169
104,155,3654,39,Refrigerator,9955
127,227,173,14,Tented truck,9138
5,9,2404,2,Medium van,2207
190,242,6610,54,Medium van,12336
34,73,8599,32,Tented truck,9591
51,84,3507,40,Furniture van,5224
51,104,3896,45,Refrigerator,7601
134,204,3979,44,Refrigerator,10274
4,7,1541,7,Medium van,1704
112,149,2759,35,Small van,4782
184,374,5942,17,Medium van,9930
123,176,1629,38,Tented truck,11328
155,274,5084,5,Dump truck,15415
134,165,4073,8,Isothermal van,7529
193,356,9801,58,Tented truck,18845
11,19,7081,30,Dump truck,8006
80,137,1744,47,Refrigerator,7553
127,261,4346,16,Furniture van,7633
190,243,482,49,Refrigerator,12248
142,192,7220,4,Medium van,7369
80,109,1885,26,Small van,3322
3,4,391,3,Dump truck,2127
131,203,519,28,Tented truck,10391
196,358,8356,14,Tented truck,19801
66,95,7346,22,Dump truck,9967
115,200,4256,27,Tented truck,11399
70,120,9666,1,Dump truck,13143
163,312,1774,21,Dump truck,15856
3,5,264,38,Isothermal van,2331
110,171,3416,51,Isothermal van,9632
45,84,2137,60,Refrigerator,6147
195,285,5926,46,Furniture van,13705
104,224,3811,32,Dump truck,10359
44,75,6221,27,Dump truck,7972
76,142,7264,31,Medium van,8165
58,89,4635,6,Tented truck,7102
152,317,9618,35,Refrigerator,16389
11,19,6333,39,Dump truck,6464
120,203,3980,13,Refrigerator,10271
33,41,4120,21,Refrigerator,5210
188,289,8673,60,Refrigerator,18631
33,61,3203,9,Tented truck,5327
181,375,6601,45,Refrigerator,17134
128,278,8848,59,Small van,9886
126,210,9020,60,Furniture van,12694
24,40,9177,42,Isothermal van,8224
19,38,6344,48,Medium van,6216
178,270,2949,22,Medium van,8026
26,40,3281,8,Small van,3098
70,100,896,59,Medium van,5145
165,227,4629,44,Dump truck,16248
40,75,2726,35,Furniture van,4523
190,417,7227,20,Small van,8578
174,260,7441,7,Isothermal van,11757
131,205,1008,40,Refrigerator,8712
118,153,5871,23,Small van,6736
99,164,7392,6,Medium van,7094
77,149,8308,41,Furniture van,9721
7,9,1349,12,Refrigerator,2668
65,135,5600,21,Refrigerator,8779
71,123,5988,6,Furniture van,6903
168,334,9221,16,Medium van,9888
140,245,1049,19,Refrigerator,10760
103,156,5619,20,Refrigerator,11038
129,178,3455,50,Tented truck,12632
89,147,8778,47,Dump truck,12510
176,229,4534,7,Small van,7381
131,276,9800,24,Isothermal van,11180
34,63,6235,45,Medium van,5581
70,113,2697,38,Furniture van,5584
179,366,2268,22,Furniture van,9150
74,107,2385,9,Small van,3132
177,234,4167,60,Small van,9216
38,70,5945,59,Refrigerator,7332
55,120,7349,23,Medium van,6292
83,169,5559,5,Small van,5172
185,322,505,21,Dump truck,14310
94,172,2645,55,Dump truck,11827
176,356,6899,56,Isothermal van,11869
37,44,4020,26,Furniture van,5443
175,220,9834,5,Furniture van,11843
38,63,7073,15,Dump truck,8184
57,82,4542,16,Medium van,4968
43,83,4985,17,Isothermal van,5670
93,114,3597,37,Isothermal van,7095
164,232,4155,38,Tented truck,16006
48,63,7639,42,Dump truck,11351
70,99,9145,44,Small van,7266
174,344,2773,9,Medium van,6615
112,196,8863,17,Furniture van,10741
131,254,3159,56,Dump truck,15942
191,391,5742,46,Isothermal van,13550
160,244,1465,58,Medium van,8627
43,87,5693,57,Tented truck,9984
178,234,2847,36,Isothermal van,10870
66,118,5363,47,Medium van,7321
167,252,2162,48,Tented truck,15899
145,288,8388,43,Small van,10146
101,134,9512,37,Medium van,8960
141,294,8165,17,Dump truck,15540
60,127,9101,3,Furniture van,8222
110,144,9963,5,Isothermal van,10109
14,28,6430,18,Isothermal van,4857
187,407,9729,16,Tented truck,19913
195,289,8788,52,Refrigerator,16903
144,197,248,32,Refrigerator,8857
77,97,8293,31,Dump truck,13541
32,55,2604,52,Furniture van,5059
72,128,3572,39,Refrigerator,7092
83,149,4208,10,Small van,4222
42,76,5601,51,Small van,6522
60,98,1491,45,Small van,3746
16,32,6068,21,Refrigerator,6538
139,303,7925,59,Small van,10711
187,385,8771,20,Medium van,10592
183,397,1683,43,Isothermal van,9238
182,303,7049,59,Dump truck,17734
42,79,8906,58,Refrigerator,10905
63,88,9234,21,Small van,7542
199,316,770,33,Isothermal van,10087
160,239,3200,27,Tented truck,13368
58,71,2124,7,Small van,3244
57,83,1392,3,Small van,2440
125,237,3661,7,Medium van,5750
146,302,8513,43,Furniture van,13058
12,19,2146,17,Refrigerator,3197
71,126,7276,56,Furniture van,8230
12,23,3617,38,Small van,3911
156,275,8514,19,Refrigerator,14401
50,108,8811,52,Furniture van,9583
174,320,2084,40,Isothermal van,9208
31,48,6456,44,Isothermal van,6819
105,212,9173,18,Isothermal van,12026
71,141,9981,1,Tented truck,10842
48,74,4622,16,Medium van,5318
127,166,6665,48,Furniture van,10677
123,166,4196,38,Tented truck,13984
134,192,1421,42,Tented truck,10888
37,69,733,57,Furniture van,4439
137,187,2622,44,Furniture van,8316
4,5,6429,15,Small van,4665
36,77,1703,1,Dump truck,5968
136,217,4218,23,Isothermal van,10304
85,186,1876,58,Small van,5401
119,230,7696,56,Dump truck,17169
134,218,4547,9,Furniture van,6994
89,149,556,23,Furniture van,4339
126,212,151,12,Refrigerator,9034
180,242,1123,23,Refrigerator,10851
139,300,8367,33,Refrigerator,13676
16,27,2195,20,Isothermal van,3469
40,74,1791,6,Furniture van,3418
72,88,2010,35,Dump truck,8389
89,117,1621,38,Isothermal van,5780
31,39,7077,57,Refrigerator,8187
73,96,2421,52,Refrigerator,7479
176,369,191,11,Furniture van,6748
67,127,4014,29,Tented truck,9276
82,163,9571,55,Dump truck,14986
80,143,4600,31,Isothermal van,8443
108,167,7775,27,Tented truck,13422
155,264,9119,33,Isothermal van,13176
85,183,4477,43,Isothermal van,7556
160,329,5453,7,Furniture van,8898
86,178,5373,28,Small van,6486
198,360,859,15,Tented truck,13288
33,44,5068,54,Isothermal van,7062
51,78,2697,59,Furniture van,6274
128,181,1621,53,Medium van,7072
49,99,2193,1,Isothermal van,4464
61,92,8076,51,Isothermal van,10516
24,49,945,10,Refrigerator,3779
187,399,9158,37,Medium van,11526
30,36,7995,14,Refrigerator,6722
42,52,1095,36,Tented truck,5709
98,127,5288,40,Tented truck,10605
110,159,4126,45,Refrigerator,10557
81,124,679,46,Tented truck,8477
200,375,5730,12,Small van,8446
27,40,7033,5,Medium van,4977
180,300,3671,19,Furniture van,10700
19,31,8167,23,Isothermal van,7040
59,98,7871,27,Refrigerator,8997
44,94,9842,13,Medium van,7236
126,198,2058,54,Isothermal van,9231
192,352,4414,60,Medium van,11701
114,221,9865,30,Furniture van,10739
48,63,9304,45,Isothermal van,9467
186,373,5381,23,Small van,7095
151,225,6478,41,Refrigerator,12074
167,260,6252,20,Medium van,8590
91,168,2825,26,Isothermal van,6207
165,360,541,8,Tented truck,13568
130,219,828,39,Refrigerator,9611
131,206,2694,26,Refrigerator,8929
41,52,8339,41,Tented truck,9693
48,73,1815,43,Tented truck,7291
117,186,4040,24,Small van,6430
9,18,7729,19,Furniture van,6419
152,292,8913,50,Dump truck,16301
165,215,3952,30,Isothermal van,11935
97,148,4640,52,Small van,6586
46,76,6801,37,Refrigerator,9317
40,59,961,35,Dump truck,6907
134,269,2051,53,Furniture van,9415
49,104,1672,1,Small van,2092
26,51,3210,28,Refrigerator,5253
84,143,8026,44,Furniture van,9938
87,167,5961,36,Isothermal van,9387
79,126,1885,24,Refrigerator,6820
114,150,8619,9,Refrigerator,12265
121,233,3263,47,Tented truck,13759
102,125,7805,27,Small van,8113
105,163,4284,5,Isothermal van,6487
49,95,3684,16,Small van,3680
170,331,6814,44,Dump truck,15930
83,129,6950,52,Dump truck,11522
179,333,8031,51,Furniture van,14288
152,204,4717,47,Isothermal van,9756
195,422,7289,48,Tented truck,17207
147,224,763,32,Refrigerator,9762
76,151,9921,27,Refrigerator,11793
49,83,8182,45,Furniture van,7591
47,80,2952,60,Dump truck,8938
51,80,7438,59,Small van,6212
42,78,3011,50,Dump truck,7430
129,258,666,49,Dump truck,11559
122,201,7808,43,Medium van,10062
157,285,3622,44,Tented truck,16599
19,30,2381,49,Small van,3761
153,194,9709,45,Refrigerator,13651
200,264,7018,30,Medium van,11373
141,280,9468,10,Furniture van,10558
83,110,2344,37,Tented truck,8190
99,216,3244,32,Dump truck,12643
180,299,4270,30,Dump truck,16870
5,8,8698,49,Medium van,7645
76,111,5187,55,Tented truck,10501
128,178,3044,54,Small van,5652
4,5,6598,6,Dump truck,6178
94,146,6913,33,Refrigerator,11525
19,36,5089,19,Furniture van,4571
88,120,2016,11,Furniture van,4721
4,6,8276,17,Refrigerator,5534
148,231,7996,52,Small van,8100
154,217,7054,17,Small van,7091
141,239,2993,59,Tented truck,13128
5,10,8745,32,Refrigerator,6470
99,191,9338,55,Furniture van,9618
6,7,3916,30,Furniture van,4229
60,128,1336,50,Dump truck,8344
139,177,4550,59,Dump truck,15677
169,353,9049,15,Dump truck,19777
155,239,120,39,Medium van,6034
164,216,5456,51,Refrigerator,14690
160,232,3891,6,Dump truck,14931
48,84,1086,48,Tented truck,7014
120,231,569,39,Refrigerator,9264
102,204,1939,25,Furniture van,6081
93,171,861,12,Furniture van,4671
21,36,2878,35,Small van,3462
74,146,1595,15,Small van,3538
49,102,3448,3,Isothermal van,4638
53,97,7332,23,Dump truck,11432
76,95,2787,55,Refrigerator,7873
153,261,6588,31,Isothermal van,11710
69,123,1288,23,Tented truck,6546
150,184,7261,29,Isothermal van,11732
168,342,5389,60,Refrigerator,15585
50,90,9604,7,Medium van,8191
147,185,1792,37,Isothermal van,7664
126,241,8074,11,Isothermal van,12114
52,110,8617,17,Small van,6884
97,118,3776,9,Dump truck,11307
133,195,8039,24,Isothermal van,9746
180,299,5746,53,Furniture van,13112
200,332,3852,44,Dump truck,20814
75,102,5729,18,Furniture van,7591
26,48,1833,59,Isothermal van,4707
108,195,3607,20,Dump truck,13124
167,279,2817,59,Dump truck,16382
150,219,1481,33,Dump truck,12639
191,418,8431,44,Small van,11025
27,58,4012,23,Refrigerator,6041
176,327,7981,3,Small van,7397
122,222,6519,27,Dump truck,14880
199,352,748,25,Small van,6479
174,248,900,33,Small van,5258
40,60,2144,56,Isothermal van,4904
96,172,1228,3,Refrigerator,7539
144,315,9898,4,Dump truck,15861
133,284,8343,30,Dump truck,15706
126,157,9007,21,Refrigerator,14047
54,89,6809,46,Dump truck,10215
138,205,1897,48,Dump truck,15348
70,142,7839,58,Refrigerator,11673
57,96,6219,15,Medium van,6723
66,112,876,24,Isothermal van,4559
109,142,6011,60,Furniture van,8565
143,236,5831,6,Furniture van,10219
96,121,3214,31,Dump truck,9629
136,291,3304,2,Furniture van,6926
80,122,3586,6,Furniture van,6122
185,401,6772,51,Small van,8677
95,127,5669,21,Medium van,7627
68,131,2289,19,Isothermal van,4857
48,94,1828,25,Isothermal van,4796
124,175,8093,36,Small van,9457
153,336,2869,52,Small van,7261
132,255,6093,23,Dump truck,14591
105,197,1258,26,Isothermal van,7133
185,401,2319,22,Tented truck,16923
185,281,6912,6,Medium van,9307
140,255,1166,42,Small van,5840
8,13,9638,52,Furniture van,7928
134,269,8935,31,Furniture van,11490
90,159,1854,42,Dump truck,10776
40,73,6528,33,Furniture van,7550
78,163,9160,53,Tented truck,14301
198,265,5471,42,Furniture van,12633
44,56,7508,59,Tented truck,10156
15,18,8684,31,Medium van,6535
199,387,3239,42,Furniture van,9987
26,39,3600,7,Tented truck,5617
135,205,6228,50,Medium van,8047
21,35,455,59,Tented truck,4413
160,242,3749,55,Isothermal van,10092
193,368,5068,21,Tented truck,18503
38,62,7962,28,Dump truck,9791
98,205,8257,10,Refrigerator,10684
171,363,3089,54,Isothermal van,11997
141,255,6213,16,Refrigerator,13168
109,136,6807,20,Refrigerator,9651
115,210,5206,5,Tented truck,10986
81,144,6526,4,Small van,6055
118,151,8752,44,Medium van,9846
200,436,3919,33,Tented truck,15325
180,231,9609,36,Small van,10278
113,185,6890,26,Medium van,7231
13,18,4951,32,Refrigerator,5790
8,10,280,40,Dump truck,3866
127,249,6435,17,Isothermal van,10757
115,200,4438,28,Furniture van,8810
92,154,4605,19,Small van,5183
58,118,6413,59,Tented truck,9607
34,62,7749,14,Tented truck,7024
66,138,2016,43,Furniture van,5024
91,180,3201,6,Small van,4200
103,220,393,42,Tented truck,10101
135,199,8827,25,Isothermal van,10550
28,42,8184,22,Tented truck,8136
21,41,6690,41,Medium van,5608
2,3,8432,56,Medium van,6395
105,148,8967,20,Tented truck,11944
122,186,1171,17,Dump truck,10568
109,147,6170,18,Isothermal van,9427
137,270,2318,47,Tented truck,12214
86,171,4898,44,Refrigerator,8488
138,287,9842,40,Dump truck,19386
36,50,6090,57,Dump truck,9578
54,82,2719,57,Tented truck,7083
69,138,7796,43,Medium van,8839
57,88,7523,13,Isothermal van,8621
2,4,7543,58,Dump truck,7380
139,302,560,46,Small van,5394
78,145,2099,46,Tented truck,7880
7,10,8596,59,Furniture van,6928
157,250,3445,28,Dump truck,15183
1,1,2455,47,Refrigerator,4009
98,152,9811,56,Dump truck,13750
133,193,406,40,Refrigerator,9861
72,154,1843,46,Medium van,5396
132,214,5823,43,Furniture van,8785
72,155,1797,4,Dump truck,7644
160,343,3786,7,Isothermal van,11059
39,80,1412,44,Furniture van,4378
114,248,6475,2,Isothermal van,9329
60,93,4716,14,Isothermal van,5376
100,201,3474,19,Furniture van,6576
60,109,5144,58,Medium van,6980
167,252,6503,47,Dump truck,16791
58,90,2108,38,Tented truck,6880
136,208,6386,60,Tented truck,15548
26,42,8450,36,Dump truck,7978
111,187,7055,37,Small van,7531
111,176,5084,28,Dump truck,12214
66,109,4006,54,Furniture van,7715
133,196,6489,30,Furniture van,9520
144,311,1277,10,Medium van,5704
170,208,7463,6,Dump truck,17748
51,67,1106,40,Small van,2840
55,70,4586,47,Small van,5589
162,227,7755,10,Small van,9411
86,111,6471,26,Refrigerator,8409
172,246,6469,25,Isothermal van,10869
82,124,1666,60,Furniture van,7105
89,192,4055,8,Isothermal van,6489
44,75,7656,52,Tented truck,10793
9,11,9553,32,Medium van,6841
148,249,5969,43,Furniture van,11317
25,53,4662,10,Furniture van,4757
80,97,5675,10,Medium van,6574
50,79,8306,54,Dump truck,12731
121,190,8699,28,Small van,9339
1,1,6939,21,Refrigerator,4959
112,162,3698,28,Tented truck,10679
122,234,9882,58,Refrigerator,15814
148,218,7257,23,Tented truck,13504
190,335,8569,51,Tented truck,18887
92,173,5586,50,Dump truck,13572
165,262,8219,11,Tented truck,17337
63,101,9778,4,Small van,7160
90,184,5914,2,Dump truck,12245
55,91,5931,30,Refrigerator,8859
148,203,9452,45,Dump truck,19667
27,52,4549,20,Furniture van,4935
56,82,8844,24,Dump truck,9624
128,185,3355,42,Isothermal van,9445
167,232,6650,13,Furniture van,11605
192,282,5667,5,Dump truck,15432
162,256,7830,52,Tented truck,14889
47,79,8090,52,Small van,6273
78,158,5947,21,Dump truck,10630
200,344,5426,14,Furniture van,9499
18,33,7077,3,Isothermal van,5858
105,145,9244,45,Tented truck,13584
1,1,1749,38,Small van,2326
68,114,8497,43,Dump truck,12116
178,342,5962,15,Refrigerator,15265
151,288,4453,8,Furniture van,8832
193,332,7813,32,Dump truck,17846
46,78,7657,44,Isothermal van,8360
67,137,2993,21,Isothermal van,6714
94,184,1085,58,Tented truck,10437
27,43,8385,52,Small van,6942
146,207,5249,43,Dump truck,16631
160,270,764,2,Dump truck,12571
69,151,620,20,Isothermal van,5368
180,216,9744,27,Dump truck,20457
195,408,5426,39,Small van,8799
33,42,2749,23,Medium van,3217
181,348,4711,22,Isothermal van,11557
114,219,3363,43,Small van,6502
41,68,3672,29,Refrigerator,6144
137,185,7598,33,Dump truck,17441
101,221,8442,40,Furniture van,10364
61,129,1721,9,Dump truck,6864
167,265,6351,13,Medium van,10066
52,106,606,36,Medium van,3962
60,105,3122,10,Medium van,4324
97,126,1344,5,Dump truck,9659
1,1,7223,1,Medium van,4512
14,17,7905,24,Medium van,5670
58,114,9679,44,Isothermal van,8666
130,256,2270,36,Medium van,6106
171,283,1560,25,Dump truck,14836
133,270,8594,28,Dump truck,16003
67,121,1365,37,Small van,3929
47,82,771,5,Isothermal van,3033
126,266,9768,36,Dump truck,15641
21,25,7905,47,Refrigerator,7244
187,310,1541,44,Dump truck,14628
161,351,2783,44,Isothermal van,9281
72,147,7540,39,Refrigerator,10634
60,129,3474,1,Refrigerator,7056
50,86,4954,42,Small van,5762
29,53,7096,18,Furniture van,5357
115,241,8966,60,Tented truck,15000
85,178,5157,21,Furniture van,7460
115,249,7579,24,Furniture van,10493
59,127,4270,4,Refrigerator,6501
61,113,3053,25,Furniture van,4960
68,144,9716,33,Refrigerator,12354
17,22,619,52,Small van,2520
98,126,2179,3,Dump truck,9824
47,102,7688,57,Medium van,7786
68,95,3237,32,Refrigerator,6353
96,119,8062,25,Furniture van,8097
122,254,4299,60,Medium van,8663
181,228,9178,19,Refrigerator,17700
102,125,9498,28,Small van,7610
74,113,3859,5,Isothermal van,5473
80,126,1649,14,Tented truck,8100
12,19,1209,29,Small van,2198
163,199,2774,2,Medium van,7319
200,242,6019,39,Dump truck,18097
130,187,423,40,Small van,5276
112,166,5611,8,Medium van,6898
74,118,3747,2,Isothermal van,6364
38,82,2492,42,Dump truck,7964
186,321,1986,7,Isothermal van,10677
11,16,2293,6,Medium van,2500
141,291,9703,19,Isothermal van,12773
165,236,3446,32,Medium van,9111
4,8,1264,5,Dump truck,3362
175,306,9198,53,Refrigerator,18158
98,136,5928,25,Furniture van,7997
187,278,9209,8,Medium van,10666
166,348,3888,35,Furniture van,10605
162,296,1665,58,Furniture van,8554
192,326,2783,57,Refrigerator,16191
159,199,5819,27,Furniture van,9605
36,63,8547,45,Furniture van,8804
127,155,1397,7,Small van,3486
114,145,1587,36,Refrigerator,8766
33,56,326,44,Medium van,3392
122,244,2619,33,Isothermal van,7188
98,145,2816,16,Medium van,5221
127,239,7123,33,Furniture van,8915
162,346,724,57,Refrigerator,12856
47,101,4039,29,Dump truck,7275
87,176,9609,19,Tented truck,11326
28,34,9508,48,Refrigerator,10227
19,35,6724,49,Tented truck,6719
77,153,4375,41,Medium van,6143
134,195,9927,26,Isothermal van,12412
65,110,1605,57,Refrigerator,7620
182,254,5555,9,Tented truck,13671
121,257,4480,23,Furniture van,7355
196,330,7793,11,Tented truck,19649
95,171,700,52,Furniture van,6947
2,4,8822,2,Isothermal van,5612
34,64,2630,21,Tented truck,6381
23,32,9694,49,Furniture van,8753
161,303,9533,5,Refrigerator,14499
127,179,2351,55,Refrigerator,11299
47,95,5775,54,Tented truck,8081
174,277,4181,27,Medium van,8603
52,105,4441,56,Furniture van,6850
167,359,9962,49,Isothermal van,14210
151,269,6545,9,Tented truck,13154
198,241,9593,17,Dump truck,23130
189,345,8081,10,Medium van,11531
181,312,2994,8,Medium van,7139
62,85,6181,58,Isothermal van,8372
3,4,1541,20,Medium van,2333
193,417,8737,21,Furniture van,11301
126,229,1270,8,Dump truck,11129
52,98,4388,52,Medium van,6189
64,85,922,40,Small van,3573
5,8,8547,60,Furniture van,6506
114,236,680,21,Isothermal van,6725
28,43,8381,9,Small van,5462
38,58,3315,46,Dump truck,6938
13,27,6031,28,Furniture van,5152
49,76,883,59,Dump truck,6914
23,50,6219,39,Medium van,6242
178,214,4135,11,Small van,6737
198,416,5214,56,Dump truck,20992
191,273,2290,48,Furniture van,9523
133,251,8279,41,Small van,8029
136,254,6546,47,Small van,7714
50,77,9236,24,Isothermal van,7502
66,125,5922,6,Medium van,6335
165,199,6033,41,Medium van,8384
190,238,8077,5,Isothermal van,13633
8,12,9643,35,Tented truck,7351
69,134,7369,4,Medium van,7037
139,300,8078,58,Furniture van,11322
176,271,2260,47,Small van,6977
21,26,6126,10,Medium van,5149
16,26,2532,26,Small van,2674
172,243,7781,38,Refrigerator,13357
179,320,6913,17,Furniture van,10973
13,19,8935,58,Refrigerator,7821
91,164,608,17,Furniture van,4210
172,316,6562,45,Small van,7949
12,26,6916,41,Dump truck,7287
182,297,8668,40,Isothermal van,14041
36,62,7916,59,Furniture van,7742
56,120,3628,8,Isothermal van,6172
193,332,8258,39,Dump truck,19108
71,96,1192,11,Refrigerator,6447
128,167,9586,32,Tented truck,15161
188,240,1289,33,Medium van,7465
147,300,6721,28,Dump truck,15782
76,95,6885,34,Isothermal van,7721
36,65,4035,1,Isothermal van,4434
70,149,1748,55,Small van,4312
162,329,7894,46,Tented truck,17199
49,90,5017,26,Medium van,4985
180,260,7344,18,Dump truck,19107
40,70,6281,25,Small van,5335
98,158,7287,20,Isothermal van,8044
32,47,828,59,Medium van,3831
171,358,4079,27,Furniture van,9269
115,165,3054,24,Medium van,6658
170,238,8970,49,Refrigerator,17390
134,232,1766,22,Isothermal van,7889
135,220,2447,4,Small van,4359
81,142,2373,9,Refrigerator,6344
193,417,9998,43,Small van,10894
15,30,4948,25,Small van,4584
92,126,2260,56,Refrigerator,7691
173,287,5209,3,Furniture van,8866
78,103,2522,5,Refrigerator,7008
197,344,7688,4,Furniture van,11761
27,55,2320,16,Dump truck,5679
144,176,9514,3,Furniture van,9899
170,327,2177,14,Isothermal van,10416
165,333,3493,29,Small van,6627
106,187,7125,30,Small van,7990
143,234,8924,8,Dump truck,16516
111,133,8982,9,Tented truck,14405
136,296,7130,1,Refrigerator,10787
137,259,7844,18,Dump truck,17010
6,10,4673,38,Small van,4583
7,14,4806,35,Small van,4310
39,77,9692,32,Refrigerator,9349
105,169,4003,54,Furniture van,8216
116,217,4807,59,Furniture van,10236
179,240,433,55,Small van,5913
200,283,9965,58,Refrigerator,15954
138,300,1985,18,Tented truck,11224
109,177,1879,60,Tented truck,11846
194,316,4014,18,Furniture van,9542
28,51,6126,19,Small van,4205
67,97,2298,21,Dump truck,8798
29,61,538,2,Tented truck,3615
142,196,2699,37,Small van,5578
103,152,6944,4,Refrigerator,11219
23,33,1448,43,Tented truck,5196
102,144,3933,41,Medium van,6200
167,280,5467,38,Isothermal van,13108
85,133,2379,10,Small van,4045
1,1,5844,41,Tented truck,5319
200,366,2015,15,Tented truck,15708
63,133,1233,59,Isothermal van,5361
67,129,6524,36,Isothermal van,8101
5,10,456,33,Isothermal van,2161
196,371,368,24,Refrigerator,10957
12,20,3245,54,Refrigerator,5437
10,20,8033,5,Dump truck,7777
8,14,4067,8,Tented truck,4647
138,165,2327,21,Tented truck,10671
1,2,6804,44,Tented truck,6814
130,225,921,50,Furniture van,6554
73,92,9273,36,Tented truck,11964
108,182,9096,55,Dump truck,15061
73,98,2013,13,Medium van,4163
6,11,9372,55,Isothermal van,8158
142,277,7266,1,Isothermal van,9626
129,160,2007,58,Isothermal van,7736
49,78,8188,48,Isothermal van,7836
69,115,8349,51,Dump truck,13138
181,283,896,51,Furniture van,8888
38,61,2240,9,Dump truck,6129
27,58,3733,32,Tented truck,6795
143,237,8649,20,Tented truck,17403
2,2,3883,51,Medium van,3903
48,63,8378,40,Tented truck,11004
158,237,2221,25,Small van,6396
92,117,1020,38,Tented truck,9654
81,153,6066,7,Small van,4829
122,231,296,21,Tented truck,10405
97,124,627,39,Small van,4131
131,197,5282,43,Tented truck,13245
121,217,1450,57,Tented truck,12026
75,114,5562,7,Small van,4711
98,124,7373,10,Refrigerator,9171
161,240,1237,45,Tented truck,15010
127,196,362,32,Medium van,5361
128,239,2953,42,Furniture van,8374
99,179,1641,13,Furniture van,5486
54,73,8776,55,Isothermal van,9140
69,95,8209,49,Furniture van,9701
130,221,3515,58,Small van,7662
60,127,1036,34,Small van,2855
40,77,5648,38,Refrigerator,7522
97,158,7479,14,Tented truck,12149
111,161,1951,5,Refrigerator,7389
153,250,7517,10,Tented truck,14591
189,350,9363,3,Furniture van,13903
30,60,245,23,Small van,1999
39,70,2603,32,Tented truck,6374
110,161,7448,1,Dump truck,11382
170,233,9320,18,Furniture van,12700
147,308,238,18,Medium van,6325
153,237,7423,8,Tented truck,16070
161,237,2926,37,Isothermal van,9747
36,76,762,43,Refrigerator,5470
26,36,6316,1,Dump truck,7944
169,203,3384,44,Medium van,7919
183,343,5260,2,Medium van,9001
136,231,1196,12,Medium van,5391
80,131,4890,34,Refrigerator,8714
44,58,8782,49,Medium van,8637
170,350,7369,16,Isothermal van,11239
79,157,5300,6,Furniture van,6736
162,341,6008,29,Medium van,10822
115,159,1644,41,Refrigerator,9531
59,96,246,17,Tented truck,5495
43,71,9700,29,Small van,6428
200,258,3365,21,Medium van,8536
42,76,224,3,Tented truck,4977
10,15,7838,33,Isothermal van,6166
91,138,8797,59,Refrigerator,10697
144,191,2223,3,Small van,5353
165,326,1977,6,Tented truck,14052
52,69,2954,24,Isothermal van,4766
34,54,3235,28,Tented truck,7006
126,189,7815,24,Small van,7348
38,68,1383,2,Refrigerator,4454
67,91,5022,16,Refrigerator,7752
21,45,7079,30,Furniture van,5727
119,155,6707,60,Dump truck,15810
5,6,8594,8,Tented truck,6744
64,90,2840,1,Refrigerator,5252
180,349,3681,26,Refrigerator,14563
167,279,4715,46,Isothermal van,10771
51,84,3232,51,Dump truck,9318
103,208,4360,19,Small van,5166
118,225,6640,4,Small van,6808
53,65,3134,13,Tented truck,7567
15,26,2017,21,Medium van,2528
56,122,5182,10,Tented truck,8173
71,129,2573,27,Dump truck,8304
111,186,4341,29,Small van,5717
6,11,2370,44,Small van,3018
13,28,4569,53,Furniture van,5103
152,301,389,22,Medium van,6486
106,198,8207,16,Dump truck,13760
20,25,8512,43,Isothermal van,7817
